product_id,gender_product,temperature,usage,productDisplayName,city,link
16193,Men,Cold,Casual,Puma Men Knitted Vest Green Sweater,Sulawesi Selatan,http://assets.myntassets.com/v1/images/style/properties/3fe9dd31f7c40d6192f3c4079e8af045_images.jpg
20228,Women,Cold,Casual,Wrangler Women Cable Red Sweater,Sulawesi Selatan,http://assets.myntassets.com/v1/images/style/properties/87bcf0dd971083a16c203b5b0d2a0d39_images.jpg
59620,Women,Hot,Ethnic,FNF Green & Black Wedding Collection Sari,Sulawesi Selatan,http://assets.myntassets.com/v1/images/style/properties/FNF-Green---Black-Collection-for-Wedding-Sari_7dbe9c26f1c6835b1c3fb1a2cc6ed4b4_images.jpg
12282,Men,Cold,Formal,Genesis Men Green & Purple Striped Shirt,Sulawesi Selatan,http://assets.myntassets.com/v1/images/style/properties/fbaf2bfd3254bd7eca90b660cf5a1ce4_images.jpg
53051,Women,Cold,Ethnic,FNF Maroon Printed Sari,Sulawesi Selatan,http://assets.myntassets.com/v1/images/style/properties/Fashion-N-Fabrics-Printed-Red-Sari_fbbe9bfadf631ecac93d8d255b35f8d3_images.jpg
46352,Men,Hot,Casual,Locomotive Men Burgundy Stripe Shirt,Sulawesi Selatan,http://assets.myntassets.com/v1/images/style/properties/3a45247a5bde4c24cc03eb591f9da529_images.jpg
56247,Men,Hot,Casual,SDL by Sweet Dreams Men Grey & Blue Pyjama Set,Sulawesi Selatan,http://assets.myntassets.com/v1/images/style/properties/SDL-by-Sweet-Dreams-Men-Grey---Blue-Pyjama-Set_9b43461107b1d79b9b84ef317aef4afe_images.jpg
9321,Men,Cold,Casual,Indian Terrain Men Worden Navy Blue Tshirts,Sulawesi Selatan,http://assets.myntassets.com/v1/images/style/properties/15da0bc604a403266445a8e5db2409ad_images.jpg
15035,Women,Cold,Casual,ADIDAS Women Stripes Purple Sweaters,Sulawesi Selatan,http://assets.myntassets.com/v1/images/style/properties/023c305eaf76e31ce12f5ed7cac8e8bf_images.jpg
12298,Men,Cold,Formal,Genesis Men Check Black Shirts,Sulawesi Selatan,http://assets.myntassets.com/v1/images/style/properties/0d7d0dd10a193371b4b69e944fca0405_images.jpg
19341,Men,Cold,Casual,United Colors of Benetton Men Solid Grey Blazer Jacket,Sulawesi Selatan,http://assets.myntassets.com/v1/images/style/properties/4e91b4f4b6ebc15f35a08e858e6ba55f_images.jpg
4063,Men,Hot,Casual,Myntra Men's Friend White T-shirt,Sulawesi Selatan,http://assets.myntassets.com/v1/images/style/properties/6b48cfdb61bef4fd3c5c80ce92c5e267_images.jpg
36558,Men,Hot,Casual,Jack & Jones Men Note Navy Blue T-shirt,Sulawesi Selatan,http://assets.myntassets.com/v1/images/style/properties/ca2e9fdcbd51235aa3cae4656d7b78b1_images.jpg
